1.14,4.416,186.83,26.482,0
1.14,4.6342,183.96,27.994,0
1.14,4.8635,180.92,29.612,0
1.14,5.1167,177.55,31.433,0
1.14,5.3009,175.08,32.782,0
1.14,5.3009,175.08,32.782,0
1.14,5.3039,175.02,32.854,0
1.14,5.307,174.96,32.927,0
1.14,5.31,174.89,32.999,0
1.14,5.3232,174.62,33.311,0
1.14,5.3364,174.35,33.624,0
1.14,5.3497,174.08,33.938,0
1.14,5.363,173.8,34.252,0
1.14,5.3965,173.11,35.046,0
1.14,5.4303,172.42,35.845,0
1.14,5.4643,171.72,36.65,0
1.14,5.4984,171.01,37.459,0
1.14,5.5883,169.16,39.587,0
1.14,5.6796,167.27,41.751,0
1.14,5.7725,165.36,43.953,0
1.14,5.8669,163.41,46.193,0
1.14,5.9629,161.43,48.473,0
1.14,6.1533,157.49,53.002,0
1.14,6.3501,153.42,57.695,0
1.14,6.5535,149.21,62.56,0
1.14,6.7638,144.84,67.611,0
1.14,6.9813,140.31,72.861,0
1.14,7.2065,135.61,78.325,0
1.14,7.4499,130.52,84.269,0
1.14,7.6328,126.67,88.766,0
1.14,7.6328,126.67,88.766,0
1.14,7.636,126.52,89.031,0
1.14,7.6392,126.36,89.297,0
1.14,7.6424,126.21,89.562,0
1.14,7.6559,125.57,90.67,0
1.14,7.6693,124.92,91.78,0
1.14,7.6828,124.28,92.891,0
1.14,7.6963,123.63,94.005,0
1.14,7.7237,122.32,96.264,0
1.14,7.7513,121,98.532,0
1.14,7.7789,119.68,100.81,0
1.14,7.8066,118.35,103.09,0
1.14,7.8693,115.35,108.26,0
1.14,7.9326,112.32,113.48,0
1.14,7.9966,109.26,118.75,0
1.14,8.0613,106.16,124.08,0
1.14,8.1267,103.03,129.47,0
1.14,8.233,97.942,138.23,0
1.14,8.3414,92.748,147.17,0
1.14,8.4524,87.435,156.32,0
1.14,8.5661,81.989,165.69,0
1.14,8.6829,76.396,175.32,0
1.14,8.8032,70.638,185.24,0
1.14,8.9273,64.694,195.47,0
1.14,9.0378,59.398,204.59,0
1.14,9.0378,59.398,204.59,0
1.1401,9.0404,59.3,204.8,0
1.1402,9.0429,59.201,205,0
1.1403,9.0454,59.102,205.21,0
1.1407,9.0561,58.686,206.1,0
