1,0.2,11.1,0,0
1,0.20009,11.098,0.0029651,0
1,0.20018,11.096,0.0059314,0
1,0.20028,11.093,0.008899,0
1,0.20067,11.084,0.021789,0
1,0.20107,11.074,0.034702,0
1,0.20147,11.064,0.04764,0
1,0.20188,11.054,0.060601,0
1,0.20298,11.027,0.096257,0
1,0.20409,11,0.1321,0
1,0.20521,10.973,0.16812,0
1,0.20633,10.945,0.20433,0
1,0.21055,10.842,0.34072,0
1,0.21486,10.737,0.47972,0
1,0.21926,10.63,0.62137,0
1,0.22375,10.52,0.76569,0
1,0.22832,10.409,0.91274,0
1,0.23639,10.212,1.172,0
1,0.24474,10.009,1.4396,0
1,0.25336,9.7997,1.7157,0
1,0.26228,9.5833,2.0004,0
1,0.27149,9.3599,2.294,0
1,0.28101,9.1296,2.5965,0
1,0.28904,8.9356,2.8509,0
1,0.28904,8.9356,2.8509,0
1,0.28904,8.9355,2.851,0
1,0.28904,8.9355,2.851,0
1,0.28924,8.9307,2.8573,0
1,0.28944,8.9259,2.8636,0
1,0.28964,8.9211,2.8699,0
1,0.29051,8.9001,2.8975,0
1,0.29139,8.879,2.9251,0
1,0.29226,8.8578,2.9528,0
1,0.29314,8.8366,2.9806,0
1,0.29572,8.7743,3.0622,0
1,0.29833,8.7116,3.1444,0
1,0.30095,8.6483,3.2272,0
1,0.3036,8.5845,3.3106,0
1,0.31125,8.4004,3.5514,0
1,0.31908,8.2123,3.7971,0
1,0.32709,8.0203,4.0475,0
1,0.33328,7.8722,4.2404,0
1,0.33957,7.7218,4.4361,0
1,0.34483,7.5962,4.5994,0
1,0.35017,7.469,4.7645,0
1,0.35558,7.3403,4.9314,0
1,0.35946,7.2481,5.0509,0
1,0.35946,7.2481,5.0509,0
1,0.35979,7.2401,5.0612,0
1,0.36013,7.2322,5.0716,0
1,0.36046,7.2242,5.0819,0
1,0.36196,7.1886,5.1279,0
1,0.36347,7.153,5.1741,0
1,0.36497,7.1172,5.2204,0
1,0.36649,7.0813,5.2668,0
1,0.37226,6.9446,5.4434,0
1,0.37226,6.9446,5.4434,0
1,0.37263,6.9359,5.4547,0
1,0.373,6.9272,5.4659,0
1,0.37336,6.9185,5.4771,0
1,0.37503,6.8792,5.5278,0
1,0.37669,6.8398,5.5787,0
1,0.37837,6.8003,5.6297,0
1,0.38005,6.7606,5.6808,0
1,0.38585,6.6239,5.8568,0
1,0.39032,6.5187,5.9921,0
1,0.39484,6.4126,6.1284,0
1,0.3994,6.3057,6.2655,0
1,0.404,6.198,6.4033,0
1,0.41166,6.0194,6.6316,0
1,0.41942,5.8389,6.8617,0
1,0.42729,5.6565,7.0935,0
1,0.43527,5.4723,7.3269,0
1,0.44336,5.2865,7.5615,0
1,0.45226,5.083,7.8174,0
1,0.45603,4.9972,7.9249,0
1,0.45603,4.9972,7.9249,0
1,0.45653,4.9856,7.9663,0
1.0001,0.45703,4.9741,8.0078,0
1.0001,0.45753,4.9625,8.0492,0
1.0004,0.46102,4.8814,8.3387,0
1.0008,0.46451,4.8001,8.6285,0
1.001,0.46725,4.7363,8.8558,0
1.0013,0.46999,4.6723,9.0833,0
1.0015,0.47273,4.6083,9.3109,0
1.0017,0.47548,4.5443,9.5386,0
1.0023,0.48189,4.3944,10.071,0
1.0029,0.48831,4.2447,10.603,0
1.0035,0.49471,4.0952,11.135,0
1.004,0.5011,3.9465,11.665,0
1.0046,0.50748,3.7987,12.194,0
1.0054,0.51587,3.6052,12.89,0
1.0061,0.52419,3.4147,13.581,0
1.0069,0.53244,3.2281,14.266,0
1.0077,0.54059,3.0462,14.942,0
1.0084,0.54863,2.8697,15.609,0
1.0092,0.55654,2.6993,16.265,0
1.0099,0.5643,2.5359,16.91,0
1.0108,0.57281,2.3619,17.616,0
1.0116,0.58111,2.1981,18.305,0
1.0125,0.58918,2.0453,18.974,0
1.0133,0.59702,1.9037,19.625,0
1.0142,0.60462,1.7738,20.255,0
1.015,0.61159,1.6614,20.834,0
